fips,Agriculture,Mining,Construction,Manufacturing,Retail,Finance,Professional Services,Health Care,Government
01000,11484.0,6038.0,106838.0,284264.0,241393.0,75294.0,128735.0,300511.0,130216.0
01001,100.0,56.0,572.0,1960.0,1698.0,367.0,0.0,1641.0,216.0
01003,649.0,70.0,5858.0,4089.0,15032.0,2054.0,3074.0,11001.0,4544.0
01005,0.0,0.0,146.0,2100.0,891.0,146.0,5.0,0.0,768.0
01007,0.0,0.0,757.0,556.0,608.0,75.0,70.0,505.0,417.0
01009,0.0,0.0,664.0,1352.0,1276.0,230.0,194.0,0.0,603.0
01011,0.0,0.0,0.0,0.0,216.0,33.0,0.0,443.0,181.0
01013,202.0,0.0,227.0,1267.0,876.0,115.0,114.0,0.0,353.0
01015,0.0,0.0,1139.0,6654.0,6005.0,821.0,1094.0,6124.0,5038.0
01017,197.0,0.0,246.0,2718.0,1089.0,120.0,206.0,791.0,569.0
01019,189.0,0.0,105.0,689.0,946.0,115.0,105.0,0.0,279.0
01021,0.0,0.0,547.0,1707.0,1548.0,225.0,0.0,37.0,670.0
01023,189.0,15.0,0.0,0.0,316.0,71.0,68.0,0.0,146.0
01025,0.0,0.0,163.0,1829.0,1328.0,269.0,5.0,868.0,694.0
01027,61.0,0.0,36.0,2147.0,285.0,0.0,51.0,0.0,221.0
01029,0.0,0.0,456.0,461.0,463.0,60.0,32.0,270.0,127.0
01031,362.0,0.0,433.0,3791.0,2519.0,302.0,629.0,2277.0,1055.0
01033,53.0,141.0,1736.0,6239.0,3217.0,743.0,0.0,3147.0,1131.0
01035,105.0,49.0,87.0,562.0,315.0,39.0,0.0,0.0,91.0
01037,14.0,0.0,35.0,571.0,121.0,0.0,27.0,0.0,175.0
01039,0.0,0.0,559.0,1662.0,1894.0,346.0,247.0,1895.0,692.0
01041,0.0,0.0,117.0,784.0,283.0,88.0,32.0,0.0,245.0
01043,349.0,9.0,1592.0,6533.0,4201.0,731.0,605.0,4153.0,1590.0
01045,0.0,0.0,708.0,3996.0,1721.0,233.0,23.0,1644.0,2329.0
01047,0.0,0.0,507.0,2383.0,1374.0,242.0,226.0,1878.0,401.0
01049,0.0,0.0,744.0,6443.0,2619.0,386.0,405.0,2729.0,1055.0
01051,107.0,54.0,1020.0,2264.0,3954.0,540.0,1033.0,2373.0,1429.0
01053,204.0,181.0,428.0,1606.0,1724.0,377.0,239.0,0.0,1695.0
01055,0.0,0.0,1078.0,4344.0,4830.0,935.0,604.0,7058.0,1838.0
01057,131.0,60.0,126.0,703.0,564.0,91.0,135.0,0.0,272.0
01059,87.0,88.0,217.0,4631.0,1131.0,387.0,0.0,141.0,527.0
01061,0.0,0.0,208.0,807.0,859.0,197.0,0.0,342.0,459.0
01063,34.0,0.0,91.0,476.0,220.0,22.0,0.0,0.0,209.0
01065,186.0,0.0,174.0,369.0,253.0,77.0,77.0,277.0,253.0
01067,265.0,0.0,226.0,515.0,310.0,112.0,262.0,0.0,317.0
01069,0.0,0.0,2158.0,4315.0,8093.0,1087.0,1404.0,8243.0,2615.0
01071,0.0,0.0,711.0,4648.0,2570.0,329.0,232.0,1823.0,812.0
01073,85.0,1219.0,19409.0,24443.0,37232.0,20047.0,20455.0,69550.0,16910.0
01075,0.0,0.0,73.0,1196.0,407.0,95.0,42.0,337.0,198.0
01077,0.0,0.0,1835.0,2365.0,4949.0,950.0,898.0,5089.0,1524.0
01079,0.0,0.0,469.0,644.0,850.0,313.0,0.0,628.0,496.0
01081,0.0,0.0,3260.0,7100.0,8041.0,1222.0,2172.0,8197.0,1999.0
01083,0.0,0.0,2659.0,8313.0,4689.0,533.0,848.0,1790.0,1054.0
01085,0.0,0.0,114.0,980.0,183.0,0.0,28.0,0.0,223.0
01087,63.0,0.0,88.0,0.0,362.0,65.0,0.0,1137.0,424.0
